pic, MSE, Ma, NIQE
67.png,13351.133704365717,4.072866858698767,596.4976818795744
68.png,6759.507587964905,4.193066372393835,552.2669163859736
69.png,10369.263534007348,4.210815721132674,548.0505776172926
7.png,11326.223598345561,4.154643205075195,582.9252778578783
70.png,13363.142260100987,4.230759427484039,579.4288159732891
71.png,9285.058087184829,4.167237745570432,571.043458879518
72.png,9579.21422966465,4.203851692148401,552.5214267143064
73.png,6180.190089942146,4.202199979240442,579.9574346998191
74.png,6299.304026492287,4.204373922867579,586.1949381139436
75.png,6727.886565382038,4.235773275866386,592.4188331729378
76.png,6958.172310783728,4.25133751034842,146.07828485986647
77.png,2473.8319179975633,4.215702410627208,590.7561331256967
78.png,9871.830612423648,4.232410558440104,606.5009572603731
79.png,8868.672049689376,4.2237624968495044,573.1427106953699
8.png,5594.063022250158,4.193324931387508,594.2072604490837
80.png,14072.618188681472,4.209745673142475,564.5173216651443
81.png,11170.848933889083,4.181656652538043,561.9622538340044
82.png,9722.76246044305,4.200873873451695,587.9637201536971
83.png,7321.4623590849105,4.3302349231589625,556.8929077621601
84.png,8708.272667305304,4.136681035991884,646.6685101626106
85.png,5839.264099710367,4.198215501579877,602.724784777388
86.png,7396.053568193269,4.215288462318962,544.177824100613
87.png,6449.650073702708,4.2091187370309004,590.8855513580855
88.png,5862.176144781377,4.2152968540333,574.4366141812075
89.png,4245.023058612689,4.197631715126769,566.26106613827
9.png,8485.833796432937,4.182440704698331,569.5453665917429
90.png,5454.546932690417,4.166026659482723,579.7630346792624
91.png,7454.722967474574,4.172509968472517,574.5756896597254
92.png,6628.141993040985,4.3018287704554865,531.9060952550607
93.png,5263.023425767072,4.209713856488751,582.0372310427722
94.png,7726.27948113202,4.188814289053291,563.3706036989885
95.png,10219.04649831658,4.19283348302598,550.1957798101823
96.png,8107.6326908903075,4.19195894054995,581.5532999953678
97.png,8509.740430900949,4.115232441857133,569.3938022582585
98.png,8289.926564569543,4.215322667724495,574.1880625554913
99.png,10299.851742460603,4.193771583258068,560.533746600401
